,Year,Country of Origin (ISO),Country of Origin,Country of Resettlement (ISO),Country of Resettlement,Female 0-17,Female 18-59,Female 60+,Female Total,Male 0-17,Male 18-59,Male 60+,Male Total,Grand Total
273,2018,IRQ,Iraq,USA,United States of America,172.0,264.0,35.0,471.0,188.0,285.0,31.0,504.0,975.0
274,2018,IRN,Iran (Islamic Rep. of),AUS,Australia,2.0,3.0,0.0,5.0,0.0,4.0,0.0,4.0,9.0
275,2018,SDN,Sudan,GBR,United Kingdom of Great Britain and Northern Ireland,107.0,87.0,2.0,196.0,124.0,63.0,1.0,188.0,384.0
276,2018,All others,All others,USA,United States of America,1177.0,1068.0,43.0,2288.0,1216.0,995.0,21.0,2232.0,4551.0
277,2018,COD,Dem. Rep. of the Congo,CAN,Canada,393.0,321.0,23.0,737.0,396.0,299.0,18.0,713.0,1450.0
278,2018,SOM,Somalia,NOR,Norway,2.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,5.0
279,2018,MMR,Myanmar,AUS,Australia,61.0,75.0,5.0,141.0,74.0,78.0,2.0,154.0,295.0
280,2018,IRQ,Iraq,NLD,Netherlands,2.0,4.0,0.0,6.0,3.0,3.0,0.0,6.0,12.0
281,2018,IRN,Iran (Islamic Rep. of),CAN,Canada,26.0,98.0,3.0,127.0,26.0,95.0,5.0,126.0,253.0
282,2018,SDN,Sudan,ITA,Italy,8.0,3.0,0.0,11.0,7.0,11.0,0.0,18.0,29.0
283,2018,All others,All others,CAN,Canada,524.0,631.0,10.0,1165.0,511.0,602.0,22.0,1135.0,2401.0
284,2018,SYR,Syrian Arab Rep.,DEU,Germany,1013.0,890.0,66.0,1969.0,1096.0,810.0,53.0,1959.0,3928.0
285,2018,SOM,Somalia,NZL,New Zealand,6.0,4.0,1.0,11.0,3.0,4.0,0.0,7.0,18.0
286,2018,IRQ,Iraq,NOR,Norway,2.0,3.0,0.0,5.0,4.0,1.0,0.0,5.0,10.0
287,2018,IRN,Iran (Islamic Rep. of),FRA,France,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
288,2019,COD,Dem. Rep. of the Congo,FIN,Finland,42.0,25.0,3.0,70.0,44.0,31.0,1.0,76.0,146.0
289,2019,IRQ,Iraq,FRA,France,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
290,2019,ERI,Eritrea,CHE,Switzerland,3.0,3.0,0.0,6.0,18.0,2.0,0.0,20.0,26.0
291,2019,SDN,Sudan,NOR,Norway,46.0,61.0,1.0,108.0,62.0,31.0,0.0,93.0,201.0
292,2019,COD,Dem. Rep. of the Congo,NZL,New Zealand,36.0,48.0,3.0,87.0,36.0,41.0,3.0,80.0,167.0
293,2019,MMR,Myanmar,USA,United States of America,527.0,278.0,18.0,823.0,613.0,280.0,12.0,905.0,1728.0
294,2019,All others,All others,NLD,Netherlands,26.0,34.0,0.0,60.0,23.0,19.0,0.0,42.0,102.0
295,2019,COD,Dem. Rep. of the Congo,FRA,France,2.0,10.0,0.0,12.0,5.0,11.0,0.0,16.0,28.0
296,2019,AFG,Afghanistan,NLD,Netherlands,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0
297,2019,SYR,Syrian Arab Rep.,SWE,Sweden,634.0,538.0,23.0,1195.0,702.0,549.0,29.0,1280.0,2475.0
298,2019,SYR,Syrian Arab Rep.,NLD,Netherlands,188.0,243.0,12.0,443.0,275.0,263.0,12.0,550.0,993.0
299,2019,SOM,Somalia,CAN,Canada,574.0,648.0,26.0,1248.0,577.0,473.0,26.0,1076.0,2324.0
300,2019,SYR,Syrian Arab Rep.,ESP,Spain,267.0,238.0,7.0,512.0,303.0,262.0,5.0,570.0,1082.0
301,2019,IRQ,Iraq,PRT,Portugal,55.0,73.0,8.0,136.0,63.0,64.0,2.0,129.0,265.0
302,2019,IRN,Iran (Islamic Rep. of),KOR,Rep. of Korea,1.0,4.0,0.0,5.0,0.0,2.0,0.0,2.0,7.0
303,2019,ERI,Eritrea,MLT,Malta,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
304,2019,ERI,Eritrea,DEU,Germany,13.0,16.0,0.0,29.0,14.0,40.0,1.0,55.0,84.0
305,2019,COD,Dem. Rep. of the Congo,SWE,Sweden,138.0,115.0,3.0,256.0,146.0,94.0,7.0,247.0,503.0
306,2019,SDN,Sudan,AUS,Australia,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0
307,2019,All others,All others,SWE,Sweden,211.0,224.0,2.0,437.0,210.0,207.0,2.0,419.0,857.0
308,2019,COD,Dem. Rep. of the Congo,GBR,United Kingdom of Great Britain and Northern Ireland,3.0,3.0,0.0,6.0,5.0,7.0,0.0,12.0,18.0
309,2019,SYR,Syrian Arab Rep.,CAN,Canada,1658.0,1351.0,49.0,3058.0,2004.0,1401.0,53.0,3458.0,6516.0
310,2019,SYR,Syrian Arab Rep.,USA,United States of America,115.0,3.0,0.0,118.0,102.0,4.0,0.0,106.0,224.0
311,2019,SYR,Syrian Arab Rep.,NOR,Norway,403.0,345.0,12.0,760.0,522.0,339.0,6.0,867.0,1627.0
312,2019,SYR,Syrian Arab Rep.,EST,Estonia,1.0,2.0,0.0,3.0,0.0,2.0,0.0,2.0,5.0
313,2019,IRQ,Iraq,CAN,Canada,101.0,160.0,17.0,278.0,113.0,168.0,18.0,299.0,577.0
314,2019,IRN,Iran (Islamic Rep. of),NLD,Netherlands,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
315,2019,SDN,Sudan,SWE,Sweden,81.0,65.0,2.0,148.0,112.0,90.0,1.0,203.0,351.0
316,2019,COD,Dem. Rep. of the Congo,USA,United States of America,3360.0,2643.0,183.0,6186.0,3419.0,2604.0,138.0,6161.0,12347.0
317,2019,MMR,Myanmar,KOR,Rep. of Korea,12.0,24.0,0.0,36.0,14.0,9.0,1.0,24.0,60.0
318,2019,SYR,Syrian Arab Rep.,CHE,Switzerland,263.0,230.0,4.0,497.0,343.0,229.0,4.0,576.0,1073.0
319,2019,SYR,Syrian Arab Rep.,NZL,New Zealand,8.0,3.0,1.0,12.0,5.0,3.0,0.0,8.0,20.0
320,2019,SOM,Somalia,DNK,Denmark,4.0,4.0,0.0,8.0,0.0,2.0,0.0,2.0,10.0
321,2019,SDN,Sudan,USA,United States of America,23.0,7.0,0.0,30.0,32.0,5.0,0.0,37.0,67.0
322,2019,ERI,Eritrea,AUS,Australia,49.0,55.0,2.0,106.0,34.0,34.0,2.0,70.0,176.0
323,2019,All others,All others,CAN,Canada,489.0,571.0,21.0,1081.0,510.0,546.0,13.0,1070.0,2151.0
324,2019,COD,Dem. Rep. of the Congo,NOR,Norway,306.0,370.0,8.0,684.0,323.0,243.0,4.0,570.0,1254.0
325,2019,COD,Dem. Rep. of the Congo,DEU,Germany,40.0,29.0,1.0,70.0,41.0,22.0,0.0,63.0,133.0
326,2019,SYR,Syrian Arab Rep.,PRT,Portugal,115.0,115.0,3.0,233.0,162.0,140.0,4.0,306.0,539.0
327,2019,SDN,Sudan,DEU,Germany,118.0,115.0,1.0,234.0,128.0,90.0,3.0,221.0,455.0
328,2019,All others,All others,FRA,France,197.0,194.0,4.0,395.0,147.0,152.0,5.0,304.0,700.0
329,2019,IRN,Iran (Islamic Rep. of),USA,United States of America,3.0,4.0,0.0,7.0,3.0,4.0,0.0,7.0,14.0
330,2019,ERI,Eritrea,PRT,Portugal,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0
331,2019,MMR,Myanmar,CAN,Canada,35.0,38.0,2.0,75.0,27.0,37.0,1.0,65.0,140.0
332,2019,All others,All others,LUX,Luxembourg,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0
333,2019,BTN,Bhutan,AUS,Australia,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0
334,2019,SOM,Somalia,GBR,United Kingdom of Great Britain and Northern Ireland,66.0,108.0,2.0,176.0,75.0,46.0,0.0,121.0,297.0
335,2019,SYR,Syrian Arab Rep.,HRV,Croatia,10.0,8.0,1.0,19.0,15.0,7.0,0.0,22.0,41.0
336,2019,IRQ,Iraq,GBR,United Kingdom of Great Britain and Northern Ireland,44.0,59.0,6.0,109.0,52.0,43.0,1.0,96.0,205.0
337,2019,IRQ,Iraq,AUS,Australia,225.0,413.0,53.0,691.0,226.0,387.0,47.0,660.0,1351.0
338,2019,IRN,Iran (Islamic Rep. of),JPN,Japan,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
339,2019,All others,All others,PRT,Portugal,5.0,15.0,0.0,20.0,11.0,4.0,0.0,15.0,35.0
340,2019,AFG,Afghanistan,NOR,Norway,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
341,2019,SOM,Somalia,MLT,Malta,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
342,2019,IRQ,Iraq,SWE,Sweden,3.0,5.0,0.0,8.0,2.0,5.0,1.0,8.0,16.0
343,2019,IRQ,Iraq,IRL,Ireland,2.0,5.0,1.0,8.0,4.0,4.0,1.0,9.0,17.0
344,2019,ERI,Eritrea,NLD,Netherlands,12.0,21.0,0.0,33.0,14.0,40.0,0.0,54.0,87.0
345,2019,AFG,Afghanistan,NZL,New Zealand,35.0,35.0,2.0,72.0,40.0,28.0,0.0,68.0,140.0
346,2019,AFG,Afghanistan,FIN,Finland,1.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,5.0
347,2019,SYR,Syrian Arab Rep.,FIN,Finland,137.0,131.0,9.0,277.0,145.0,135.0,6.0,286.0,563.0
348,2019,ERI,Eritrea,NOR,Norway,22.0,61.0,0.0,83.0,25.0,38.0,0.0,63.0,146.0
349,2019,All others,All others,BRA,Brazil,5.0,14.0,0.0,19.0,14.0,12.0,0.0,26.0,45.0
350,2019,AFG,Afghanistan,SWE,Sweden,24.0,47.0,3.0,74.0,22.0,10.0,2.0,34.0,108.0
351,2019,AFG,Afghanistan,FRA,France,0.0,2.0,0.0,2.0,1.0,6.0,0.0,7.0,9.0
352,2019,SOM,Somalia,FIN,Finland,3.0,25.0,0.0,28.0,3.0,15.0,0.0,18.0,46.0
353,2019,SYR,Syrian Arab Rep.,FRA,France,431.0,341.0,10.0,782.0,474.0,354.0,10.0,838.0,1620.0
354,2019,IRQ,Iraq,ESP,Spain,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
355,2019,IRN,Iran (Islamic Rep. of),SWE,Sweden,0.0,1.0,0.0,1.0,2.0,2.0,0.0,4.0,5.0
356,2019,ERI,Eritrea,NZL,New Zealand,30.0,21.0,0.0,51.0,25.0,14.0,0.0,39.0,90.0
357,2019,IRN,Iran (Islamic Rep. of),FIN,Finland,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0
358,2019,All others,All others,FIN,Finland,6.0,6.0,0.0,12.0,5.0,13.0,1.0,19.0,31.0
359,2019,AFG,Afghanistan,USA,United States of America,1184.0,1275.0,51.0,2510.0,1333.0,998.0,41.0,2372.0,4882.0
360,2019,AFG,Afghanistan,GBR,United Kingdom of Great Britain and Northern Ireland,33.0,55.0,5.0,93.0,41.0,40.0,6.0,87.0,180.0
361,2019,SYR,Syrian Arab Rep.,ROU,Romania,50.0,45.0,5.0,100.0,57.0,38.0,3.0,98.0,198.0
362,2019,SOM,Somalia,FRA,France,14.0,33.0,0.0,47.0,19.0,18.0,0.0,37.0,84.0
363,2019,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,441.0,588.0,34.0,1063.0,589.0,525.0,48.0,1162.0,2225.0
364,2019,SOM,Somalia,AUS,Australia,7.0,2.0,0.0,9.0,7.0,0.0,0.0,7.0,16.0
365,2019,IRN,Iran (Islamic Rep. of),FRA,France,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,4.0
366,2019,SDN,Sudan,ESP,Spain,1.0,5.0,1.0,7.0,3.0,3.0,0.0,6.0,13.0
367,2019,All others,All others,JPN,Japan,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0
368,2019,AFG,Afghanistan,AUS,Australia,61.0,97.0,6.0,164.0,75.0,96.0,5.0,176.0,341.0
369,2019,SYR,Syrian Arab Rep.,BEL,Belgium,170.0,188.0,9.0,367.0,199.0,171.0,7.0,377.0,744.0
370,2019,SOM,Somalia,PRT,Portugal,0.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,4.0
371,2019,ERI,Eritrea,SWE,Sweden,36.0,67.0,1.0,104.0,146.0,187.0,0.0,333.0,437.0
372,2019,ERI,Eritrea,LUX,Luxembourg,2.0,4.0,0.0,6.0,2.0,13.0,0.0,15.0,21.0
373,2019,SDN,Sudan,NZL,New Zealand,5.0,4.0,0.0,9.0,10.0,5.0,0.0,15.0,24.0
374,2019,SDN,Sudan,FIN,Finland,3.0,7.0,0.0,10.0,1.0,13.0,0.0,14.0,24.0
375,2019,All others,All others,NZL,New Zealand,115.0,148.0,8.0,271.0,138.0,141.0,6.0,285.0,556.0
376,2019,BTN,Bhutan,USA,United States of America,2.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,5.0
377,2019,AFG,Afghanistan,CAN,Canada,45.0,65.0,3.0,113.0,44.0,39.0,5.0,88.0,201.0
378,2019,SOM,Somalia,LUX,Luxembourg,0.0,8.0,0.0,8.0,1.0,9.0,0.0,10.0,18.0
379,2019,SYR,Syrian Arab Rep.,IRL,Ireland,199.0,193.0,3.0,395.0,261.0,189.0,6.0,456.0,851.0
380,2019,ERI,Eritrea,USA,United States of America,342.0,339.0,9.0,690.0,432.0,287.0,6.0,725.0,1415.0
381,2019,ERI,Eritrea,ESP,Spain,1.0,5.0,0.0,6.0,2.0,6.0,0.0,8.0,14.0
382,2019,SDN,Sudan,FRA,France,172.0,157.0,8.0,337.0,177.0,160.0,5.0,342.0,679.0
383,2019,All others,All others,USA,United States of America,945.0,1008.0,33.0,1986.0,982.0,911.0,22.0,1915.0,3901.0
384,2019,SOM,Somalia,NLD,Netherlands,13.0,14.0,0.0,27.0,9.0,8.0,0.0,17.0,44.0
385,2019,SOM,Somalia,DEU,Germany,197.0,166.0,4.0,367.0,184.0,119.0,4.0,307.0,674.0
386,2019,IRQ,Iraq,USA,United States of America,24.0,3.0,0.0,27.0,39.0,4.0,0.0,43.0,70.0
387,2019,IRN,Iran (Islamic Rep. of),AUS,Australia,6.0,51.0,0.0,57.0,5.0,64.0,1.0,70.0,128.0
388,2019,SDN,Sudan,GBR,United Kingdom of Great Britain and Northern Ireland,55.0,42.0,1.0,98.0,67.0,26.0,0.0,93.0,191.0
389,2019,MMR,Myanmar,NOR,Norway,1.0,1.0,0.0,2.0,0.0,4.0,0.0,4.0,6.0
390,2019,All others,All others,AUS,Australia,396.0,458.0,22.0,876.0,435.0,437.0,14.0,888.0,1765.0
391,2019,COD,Dem. Rep. of the Congo,CAN,Canada,425.0,458.0,30.0,913.0,412.0,363.0,25.0,800.0,1713.0
392,2019,SOM,Somalia,NOR,Norway,7.0,5.0,0.0,12.0,6.0,4.0,0.0,10.0,23.0
393,2019,MMR,Myanmar,AUS,Australia,62.0,98.0,2.0,162.0,54.0,54.0,3.0,111.0,273.0
394,2019,IRQ,Iraq,NLD,Netherlands,0.0,1.0,0.0,1.0,1.0,5.0,0.0,6.0,7.0
395,2019,IRQ,Iraq,DNK,Denmark,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
396,2019,IRN,Iran (Islamic Rep. of),CAN,Canada,13.0,60.0,3.0,76.0,7.0,44.0,1.0,52.0,128.0
397,2019,SDN,Sudan,LUX,Luxembourg,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0
398,2019,All others,All others,DNK,Denmark,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
399,2019,SYR,Syrian Arab Rep.,DEU,Germany,2030.0,1765.0,164.0,3959.0,2294.0,1604.0,104.0,4002.0,7961.0
400,2019,SOM,Somalia,NZL,New Zealand,13.0,17.0,0.0,30.0,9.0,1.0,0.0,10.0,40.0
401,2019,IRQ,Iraq,NOR,Norway,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0
402,2019,IRN,Iran (Islamic Rep. of),ESP,Spain,0.0,17.0,1.0,18.0,1.0,64.0,0.0,65.0,83.0
403,2019,All others,All others,GBR,United Kingdom of Great Britain and Northern Ireland,63.0,85.0,4.0,152.0,67.0,79.0,2.0,148.0,300.0
404,2019,AFG,Afghanistan,KOR,Rep. of Korea,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
405,2019,SYR,Syrian Arab Rep.,MLT,Malta,7.0,4.0,0.0,11.0,3.0,3.0,0.0,6.0,17.0
406,2019,IRQ,Iraq,NZL,New Zealand,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,4.0
407,2019,IRN,Iran (Islamic Rep. of),GBR,United Kingdom of Great Britain and Northern Ireland,1.0,2.0,0.0,3.0,2.0,0.0,0.0,2.0,5.0
408,2019,ERI,Eritrea,ITA,Italy,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0
409,2019,MMR,Myanmar,GBR,United Kingdom of Great Britain and Northern Ireland,2.0,1.0,0.0,3.0,1.0,3.0,0.0,4.0,7.0
410,2019,All others,All others,NOR,Norway,222.0,156.0,3.0,381.0,218.0,87.0,1.0,306.0,687.0
411,2019,SYR,Syrian Arab Rep.,BGR,Bulgaria,41.0,39.0,0.0,80.0,49.0,39.0,0.0,88.0,168.0
412,2019,SOM,Somalia,SWE,Sweden,192.0,167.0,7.0,366.0,186.0,98.0,2.0,286.0,652.0
413,2019,SDN,Sudan,PRT,Portugal,12.0,8.0,0.0,20.0,7.0,6.0,1.0,14.0,34.0
414,2019,MMR,Myanmar,JPN,Japan,7.0,16.0,0.0,23.0,6.0,6.0,0.0,12.0,35.0
415,2019,All others,All others,URY,Uruguay,3.0,7.0,0.0,10.0,3.0,7.0,0.0,10.0,20.0
416,2019,COD,Dem. Rep. of the Congo,AUS,Australia,722.0,580.0,32.0,1340.0,755.0,565.0,26.0,1346.0,2686.0
417,2019,SOM,Somalia,USA,United States of America,61.0,20.0,1.0,82.0,60.0,12.0,1.0,73.0,155.0
418,2019,ERI,Eritrea,FIN,Finland,1.0,15.0,0.0,16.0,2.0,58.0,0.0,60.0,77.0
419,2019,SDN,Sudan,CAN,Canada,116.0,130.0,2.0,248.0,134.0,183.0,7.0,324.0,572.0
420,2019,SYR,Syrian Arab Rep.,ARG,Argentina,2.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,5.0
421,2019,SYR,Syrian Arab Rep.,ITA,Italy,114.0,84.0,3.0,201.0,119.0,88.0,2.0,209.0,410.0
422,2019,IRQ,Iraq,DEU,Germany,11.0,24.0,4.0,39.0,21.0,21.0,3.0,45.0,84.0
423,2019,ERI,Eritrea,FRA,France,8.0,27.0,0.0,35.0,13.0,138.0,0.0,151.0,186.0
424,2019,SDN,Sudan,CHE,Switzerland,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0
425,2019,MMR,Myanmar,NZL,New Zealand,33.0,24.0,0.0,57.0,28.0,19.0,1.0,48.0,105.0
426,2019,All others,All others,DEU,Germany,73.0,63.0,7.0,143.0,71.0,34.0,1.0,106.0,249.0
427,2019,SYR,Syrian Arab Rep.,AUS,Australia,80.0,63.0,4.0,147.0,93.0,60.0,3.0,156.0,303.0
428,2019,IRQ,Iraq,FIN,Finland,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0
429,2019,ERI,Eritrea,GBR,United Kingdom of Great Britain and Northern Ireland,14.0,30.0,0.0,44.0,16.0,19.0,0.0,35.0,79.0
430,2019,ERI,Eritrea,CAN,Canada,45.0,91.0,2.0,138.0,50.0,113.0,2.0,165.0,303.0
431,2019,SDN,Sudan,NLD,Netherlands,56.0,53.0,1.0,110.0,47.0,36.0,1.0,84.0,194.0
432,2019,MMR,Myanmar,SWE,Sweden,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,4.0
433,2020,AFG,Afghanistan,USA,United States of America,4.0,4.0,0.0,8.0,11.0,1.0,0.0,12.0,20.0
434,2020,AFG,Afghanistan,ISL,Iceland,6.0,8.0,0.0,14.0,7.0,3.0,0.0,10.0,24.0
435,2020,SYR,Syrian Arab Rep.,ROU,Romania,12.0,7.0,0.0,19.0,18.0,9.0,0.0,27.0,46.0
436,2020,SOM,Somalia,FRA,France,2.0,4.0,0.0,6.0,3.0,5.0,0.0,8.0,14.0
437,2020,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,126.0,193.0,10.0,329.0,185.0,177.0,11.0,373.0,702.0
438,2020,SOM,Somalia,AUS,Australia,8.0,1.0,0.0,9.0,10.0,1.0,0.0,11.0,20.0
439,2020,SYR,Syrian Arab Rep.,DEU,Germany,276.0,225.0,11.0,512.0,323.0,202.0,7.0,532.0,1044.0
440,2020,IRN,Iran (Islamic Rep. of),USA,United States of America,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0
441,2020,MMR,Myanmar,CAN,Canada,11.0,25.0,1.0,37.0,20.0,28.0,0.0,48.0,85.0
442,2020,All others,All others,URY,Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,2020,SOM,Somalia,GBR,United Kingdom of Great Britain and Northern Ireland,22.0,34.0,2.0,58.0,22.0,26.0,2.0,50.0,108.0
444,2020,IRQ,Iraq,GBR,United Kingdom of Great Britain and Northern Ireland,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
445,2020,IRQ,Iraq,AUS,Australia,58.0,101.0,12.0,171.0,74.0,95.0,6.0,175.0,346.0
446,2020,AFG,Afghanistan,NOR,Norway,1.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0
447,2020,AFG,Afghanistan,CHE,Switzerland,14.0,10.0,1.0,25.0,10.0,5.0,1.0,16.0,41.0
448,2020,ERI,Eritrea,NLD,Netherlands,9.0,11.0,0.0,20.0,9.0,10.0,0.0,19.0,39.0
449,2020,All others,All others,BRA,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,2020,AFG,Afghanistan,NZL,New Zealand,22.0,37.0,0.0,59.0,44.0,23.0,1.0,68.0,127.0
451,2020,AFG,Afghanistan,FIN,Finland,3.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,5.0
452,2020,SYR,Syrian Arab Rep.,FIN,Finland,79.0,77.0,1.0,157.0,105.0,84.0,1.0,190.0,347.0
453,2020,IRN,Iran (Islamic Rep. of),NZL,New Zealand,2.0,2.0,0.0,4.0,0.0,1.0,0.0,1.0,5.0
454,2020,ERI,Eritrea,NOR,Norway,18.0,24.0,0.0,42.0,18.0,23.0,0.0,41.0,83.0
455,2020,All others,All others,FIN,Finland,8.0,9.0,0.0,17.0,6.0,8.0,1.0,15.0,32.0
456,2020,AFG,Afghanistan,SWE,Sweden,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
457,2020,AFG,Afghanistan,FRA,France,1.0,1.0,0.0,2.0,2.0,2.0,0.0,4.0,6.0
458,2020,SOM,Somalia,FIN,Finland,6.0,5.0,0.0,11.0,6.0,5.0,0.0,11.0,22.0
459,2020,SYR,Syrian Arab Rep.,FRA,France,313.0,262.0,7.0,582.0,378.0,266.0,4.0,648.0,1230.0
460,2020,IRN,Iran (Islamic Rep. of),CHE,Switzerland,2.0,3.0,0.0,5.0,1.0,8.0,0.0,9.0,14.0
461,2020,IRN,Iran (Islamic Rep. of),SWE,Sweden,0.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,4.0
462,2020,ERI,Eritrea,NZL,New Zealand,3.0,1.0,0.0,4.0,2.0,2.0,0.0,4.0,8.0
463,2020,MMR,Myanmar,AUS,Australia,17.0,15.0,3.0,35.0,20.0,18.0,2.0,40.0,75.0
464,2020,All others,All others,NLD,Netherlands,4.0,4.0,0.0,8.0,7.0,0.0,0.0,7.0,15.0
465,2020,SDN,Sudan,ESP,Spain,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
466,2020,All others,All others,SWE,Sweden,32.0,25.0,0.0,57.0,31.0,19.0,0.0,50.0,107.0
467,2020,AFG,Afghanistan,AUS,Australia,70.0,115.0,6.0,191.0,88.0,93.0,7.0,188.0,379.0
468,2020,SYR,Syrian Arab Rep.,BEL,Belgium,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
469,2020,ERI,Eritrea,SWE,Sweden,48.0,81.0,0.0,129.0,89.0,76.0,1.0,166.0,295.0
470,2020,SDN,Sudan,FIN,Finland,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0
471,2020,AFG,Afghanistan,CAN,Canada,23.0,37.0,0.0,60.0,26.0,27.0,2.0,55.0,115.0
472,2020,SYR,Syrian Arab Rep.,IRL,Ireland,57.0,48.0,0.0,105.0,59.0,41.0,0.0,100.0,205.0
473,2020,SOM,Somalia,CHE,Switzerland,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0
474,2020,ERI,Eritrea,USA,United States of America,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
475,2020,SDN,Sudan,FRA,France,40.0,35.0,3.0,78.0,27.0,24.0,1.0,52.0,130.0
476,2020,All others,All others,AUS,Australia,169.0,260.0,12.0,441.0,180.0,216.0,4.0,400.0,841.0
477,2020,SOM,Somalia,NLD,Netherlands,19.0,15.0,0.0,34.0,20.0,7.0,1.0,28.0,62.0
478,2020,SOM,Somalia,DEU,Germany,13.0,22.0,1.0,36.0,6.0,20.0,0.0,26.0,62.0
479,2020,IRQ,Iraq,USA,United States of America,8.0,0.0,0.0,8.0,10.0,0.0,0.0,10.0,18.0
480,2020,IRQ,Iraq,CHE,Switzerland,7.0,13.0,2.0,22.0,11.0,13.0,2.0,26.0,48.0
481,2020,IRN,Iran (Islamic Rep. of),AUS,Australia,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,4.0
482,2020,SDN,Sudan,GBR,United Kingdom of Great Britain and Northern Ireland,2.0,1.0,0.0,3.0,4.0,1.0,0.0,5.0,8.0
483,2020,All others,All others,DEU,Germany,37.0,36.0,0.0,73.0,31.0,24.0,0.0,55.0,128.0
484,2020,COD,Dem. Rep. of the Congo,CAN,Canada,159.0,171.0,12.0,342.0,171.0,146.0,14.0,331.0,673.0
485,2020,SOM,Somalia,NOR,Norway,30.0,30.0,1.0,61.0,13.0,13.0,0.0,26.0,87.0
486,2020,IRQ,Iraq,NLD,Netherlands,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
487,2020,IRN,Iran (Islamic Rep. of),CAN,Canada,2.0,5.0,0.0,7.0,1.0,2.0,1.0,4.0,11.0
488,2020,All others,All others,ISL,Iceland,0.0,4.0,0.0,4.0,3.0,3.0,0.0,6.0,10.0
489,2020,SOM,Somalia,NZL,New Zealand,35.0,44.0,2.0,81.0,37.0,18.0,1.0,56.0,137.0
490,2020,ERI,Eritrea,GBR,United Kingdom of Great Britain and Northern Ireland,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
491,2020,ERI,Eritrea,CAN,Canada,34.0,73.0,1.0,108.0,52.0,97.0,2.0,151.0,259.0
492,2020,All others,All others,NZL,New Zealand,60.0,65.0,1.0,126.0,65.0,58.0,0.0,123.0,249.0
493,2020,IRQ,Iraq,NZL,New Zealand,6.0,6.0,0.0,12.0,7.0,9.0,0.0,16.0,28.0
494,2020,MMR,Myanmar,GBR,United Kingdom of Great Britain and Northern Ireland,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0
