,Year,Country of Origin (ISO),Country of Origin,Country of Resettlement (ISO),Country of Resettlement,Female 0-17,Female 18-59,Female 60+,Female Total,Male 0-17,Male 18-59,Male 60+,Male Total,Grand Total
102,2017,SYR,Syrian Arab Rep.,CHL,Chile,20.0,22.0,0.0,42.0,29.0,24.0,0.0,53.0,95.0
103,2017,All others,All others,CAN,Canada,240.0,205.0,9.0,454.0,242.0,208.0,5.0,455.0,909.0
104,2017,SYR,Syrian Arab Rep.,PRT,Portugal,63.0,37.0,1.0,101.0,76.0,44.0,0.0,120.0,221.0
105,2017,SOM,Somalia,AUS,Australia,25.0,72.0,3.0,100.0,32.0,39.0,0.0,71.0,171.0
106,2017,COD,Dem. Rep. of the Congo,NZL,New Zealand,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0
107,2017,COD,Dem. Rep. of the Congo,FIN,Finland,51.0,38.0,0.0,89.0,54.0,37.0,0.0,91.0,180.0
108,2017,All others,All others,EST,Estonia,2.0,2.0,0.0,4.0,1.0,1.0,0.0,2.0,6.0
109,2017,SYR,Syrian Arab Rep.,ROU,Romania,13.0,8.0,0.0,21.0,13.0,14.0,0.0,27.0,48.0
110,2017,SYR,Syrian Arab Rep.,LVA,Latvia,12.0,14.0,0.0,26.0,25.0,14.0,0.0,39.0,65.0
111,2017,IRQ,Iraq,FRA,France,4.0,6.0,1.0,11.0,5.0,9.0,0.0,14.0,25.0
112,2017,BTN,Bhutan,AUS,Australia,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
113,2017,SYR,Syrian Arab Rep.,SVN,Slovenia,19.0,13.0,1.0,33.0,20.0,13.0,1.0,34.0,67.0
114,2017,SOM,Somalia,GBR,United Kingdom of Great Britain and Northern Ireland,68.0,89.0,6.0,163.0,72.0,32.0,0.0,104.0,267.0
115,2017,SYR,Syrian Arab Rep.,HRV,Croatia,40.0,36.0,0.0,76.0,44.0,35.0,2.0,81.0,157.0
116,2017,IRQ,Iraq,GBR,United Kingdom of Great Britain and Northern Ireland,167.0,184.0,8.0,359.0,171.0,114.0,6.0,291.0,650.0
117,2017,IRQ,Iraq,AUS,Australia,3.0,14.0,1.0,18.0,18.0,10.0,1.0,29.0,47.0
118,2017,All others,All others,ITA,Italy,6.0,21.0,0.0,27.0,16.0,11.0,2.0,29.0,56.0
119,2017,AFG,Afghanistan,NOR,Norway,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0
120,2017,IRQ,Iraq,SWE,Sweden,9.0,18.0,4.0,31.0,10.0,14.0,1.0,25.0,56.0
121,2017,IRQ,Iraq,IRL,Ireland,0.0,2.0,0.0,2.0,0.0,3.0,0.0,3.0,5.0
122,2017,IRN,Iran (Islamic Rep. of),LUX,Luxembourg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
123,2017,ERI,Eritrea,NLD,Netherlands,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
124,2017,All others,All others,NOR,Norway,14.0,12.0,0.0,26.0,16.0,8.0,0.0,24.0,50.0
