Year,Country of Origin (ISO),Country of Origin,Country of Resettlement (ISO),Country of Resettlement,Female 0-17,Female 18-59,Female 60+,Female (unknown age),Female Total,Male 0-17,Male 18-59,Male 60+,Male (unknown age),Male Total,Other/Unknown,Grand Total
2020,IRQ,Iraq,NZL,New Zealand,6,6,0,0,12,7,9,0,0,16,0,28
2020,MMR,Myanmar,GBR,United Kingdom of Great Britain and Northern Ireland,0,0,0,0,0,0,4,0,0,4,0,4
2020,SOM,Somalia,SWE,Sweden,2,1,0,0,3,4,1,0,0,5,0,8
2020,COD,Dem. Rep. of the Congo,ISL,Iceland,0,1,0,0,1,1,1,0,0,2,0,3
2020,COD,Dem. Rep. of the Congo,AUS,Australia,178,129,9,0,316,157,43,2,0,202,0,518
2020,SOM,Somalia,USA,United States of America,27,4,0,0,31,17,1,1,0,19,0,50
2020,SYR,Syrian Arab Rep.,ISL,Iceland,12,11,0,0,23,12,11,0,0,23,0,46
2020,ERI,Eritrea,FIN,Finland,1,0,0,0,1,1,1,0,0,2,0,3
2020,SDN,Sudan,CAN,Canada,55,53,2,0,110,53,82,1,0,136,0,246
2020,All others,All others,CHE,Switzerland,7,7,0,0,14,3,6,0,0,9,0,23
2020,SYR,Syrian Arab Rep.,ARG,Argentina,0,0,0,0,0,1,0,0,0,1,0,1
2020,SYR,Syrian Arab Rep.,ITA,Italy,11,17,0,0,28,27,22,0,0,49,0,77
2020,ERI,Eritrea,FRA,France,2,5,0,0,7,0,19,0,0,19,0,26
2020,SDN,Sudan,CHE,Switzerland,16,21,0,0,37,20,25,0,0,45,0,82
2020,MMR,Myanmar,NZL,New Zealand,21,21,0,0,42,21,21,0,0,42,0,84
2020,All others,All others,GBR,United Kingdom of Great Britain and Northern Ireland,1,4,0,0,5,2,6,0,0,8,0,13
2020,SYR,Syrian Arab Rep.,AUS,Australia,144,107,8,0,259,171,98,2,0,271,0,530
2020,All others,All others,NOR,Norway,90,65,0,0,155,66,30,0,0,96,0,251
2020,COD,Dem. Rep. of the Congo,FIN,Finland,44,39,0,0,83,48,33,1,0,82,0,165
2020,SYR,Syrian Arab Rep.,DNK,Denmark,8,6,0,0,14,11,6,0,0,17,0,31
2020,ERI,Eritrea,CHE,Switzerland,2,6,0,0,8,6,2,0,0,8,0,16
2020,SDN,Sudan,NOR,Norway,23,15,0,0,38,15,20,0,0,35,0,73
2020,COD,Dem. Rep. of the Congo,NZL,New Zealand,0,1,0,0,1,0,0,0,0,0,0,1
2020,MMR,Myanmar,USA,United States of America,19,0,0,0,19,18,1,0,0,19,0,38
2020,All others,All others,USA,United States of America,61,82,3,0,146,65,65,5,0,135,0,281
2020,COD,Dem. Rep. of the Congo,FRA,France,11,9,0,0,20,16,5,0,0,21,0,41
2020,SYR,Syrian Arab Rep.,SWE,Sweden,233,229,18,0,480,273,227,9,0,509,0,989
2020,SYR,Syrian Arab Rep.,NLD,Netherlands,149,161,6,0,316,155,194,6,0,355,0,671
2020,SOM,Somalia,ISL,Iceland,2,1,1,0,4,4,0,0,0,4,0,8
2020,SOM,Somalia,CAN,Canada,44,123,2,0,169,52,64,3,0,119,0,288
2020,SYR,Syrian Arab Rep.,ESP,Spain,0,0,0,0,0,1,0,0,0,1,0,1
2020,ERI,Eritrea,DEU,Germany,6,8,0,0,14,5,24,0,0,29,0,43
2020,COD,Dem. Rep. of the Congo,SWE,Sweden,11,16,1,0,28,21,14,0,0,35,0,63
2020,SDN,Sudan,AUS,Australia,0,0,0,0,0,0,1,0,0,1,0,1
2020,SYR,Syrian Arab Rep.,CAN,Canada,235,216,5,0,456,285,231,7,0,523,0,979
2020,SYR,Syrian Arab Rep.,USA,United States of America,3,3,0,0,6,4,0,0,0,4,0,10
2020,SYR,Syrian Arab Rep.,NOR,Norway,134,107,1,0,242,165,94,1,0,260,0,502
2020,IRQ,Iraq,CAN,Canada,23,30,5,0,58,20,32,3,0,55,0,113
2020,SDN,Sudan,SWE,Sweden,20,27,1,0,48,26,25,0,0,51,0,99
2020,COD,Dem. Rep. of the Congo,USA,United States of America,81,5,0,0,86,86,6,0,0,92,0,178
2020,All others,All others,CAN,Canada,153,210,5,0,368,162,161,4,0,327,0,695
2020,COD,Dem. Rep. of the Congo,NLD,Netherlands,0,1,0,0,1,0,0,0,0,0,0,1
2020,SYR,Syrian Arab Rep.,CHE,Switzerland,51,61,1,0,113,90,63,0,0,153,0,266
2020,SYR,Syrian Arab Rep.,NZL,New Zealand,1,0,0,0,1,2,0,0,0,2,0,3
2020,SDN,Sudan,USA,United States of America,2,0,0,0,2,3,0,0,0,3,0,5
2020,ERI,Eritrea,AUS,Australia,27,46,0,0,73,31,33,5,0,69,0,142
2020,All others,All others,FRA,France,96,72,3,0,171,76,58,0,0,134,0,305
2020,COD,Dem. Rep. of the Congo,NOR,Norway,109,129,3,0,241,126,117,1,0,244,0,485
2020,COD,Dem. Rep. of the Congo,DEU,Germany,25,20,0,0,45,24,26,0,0,50,0,95
2020,SYR,Syrian Arab Rep.,PRT,Portugal,1,0,0,0,1,0,0,0,0,0,0,1
2020,SDN,Sudan,DEU,Germany,25,22,0,0,47,22,7,0,0,29,1,77
,,,,,,,,,,,,,,,,
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data. In addition, resettlement departure figures reported by UNHCR may not match resettlement statistics published by States as Government figures may include individuals who were resettled outside of UNHCR processes. More information about UNHCR's resettlement programe can be found at http://www.unhcr.org/resettlement.html.",,,,,,,,,,,,,,,,
