Year,Country of Origin (ISO),Country of Origin,Country of Resettlement (ISO),Country of Resettlement,Female 0-17,Female 18-59,Female 60+,Female (unknown age),Female Total,Male 0-17,Male 18-59,Male 60+,Male (unknown age),Male Total,Other/Unknown,Grand Total
2019,All others,All others,FRA,France,197,194,4,0,395,147,152,5,0,304,1,700
2019,IRN,Iran (Islamic Rep. of),USA,United States of America,3,4,0,0,7,3,4,0,0,7,0,14
2019,ERI,Eritrea,PRT,Portugal,0,1,0,0,1,1,0,0,0,1,0,2
2019,MMR,Myanmar,CAN,Canada,35,38,2,0,75,27,37,1,0,65,0,140
2019,All others,All others,LUX,Luxembourg,0,1,0,0,1,0,2,0,0,2,0,3
2019,BTN,Bhutan,AUS,Australia,0,0,0,0,0,1,1,0,0,2,0,2
2019,SOM,Somalia,GBR,United Kingdom of Great Britain and Northern Ireland,66,108,2,0,176,75,46,0,0,121,0,297
2019,SYR,Syrian Arab Rep.,HRV,Croatia,10,8,1,0,19,15,7,0,0,22,0,41
2019,IRQ,Iraq,GBR,United Kingdom of Great Britain and Northern Ireland,44,59,6,0,109,52,43,1,0,96,0,205
2019,IRQ,Iraq,AUS,Australia,225,413,53,0,691,226,387,47,0,660,0,1351
2019,IRN,Iran (Islamic Rep. of),JPN,Japan,0,2,0,0,2,0,0,0,0,0,0,2
2019,All others,All others,PRT,Portugal,5,15,0,0,20,11,4,0,0,15,0,35
2019,AFG,Afghanistan,NOR,Norway,0,0,0,0,0,0,1,0,0,1,0,1
2019,SOM,Somalia,MLT,Malta,0,1,0,0,1,0,0,0,0,0,0,1
2019,IRQ,Iraq,SWE,Sweden,3,5,0,0,8,2,5,1,0,8,0,16
2019,IRQ,Iraq,IRL,Ireland,2,5,1,0,8,4,4,1,0,9,0,17
2019,ERI,Eritrea,NLD,Netherlands,12,21,0,0,33,14,40,0,0,54,0,87
2019,AFG,Afghanistan,NZL,New Zealand,35,35,2,0,72,40,28,0,0,68,0,140
2019,AFG,Afghanistan,FIN,Finland,1,1,0,0,2,2,1,0,0,3,0,5
2019,SYR,Syrian Arab Rep.,FIN,Finland,137,131,9,0,277,145,135,6,0,286,0,563
2019,ERI,Eritrea,NOR,Norway,22,61,0,0,83,25,38,0,0,63,0,146
2019,All others,All others,BRA,Brazil,5,14,0,0,19,14,12,0,0,26,0,45
2019,AFG,Afghanistan,SWE,Sweden,24,47,3,0,74,22,10,2,0,34,0,108
2019,AFG,Afghanistan,FRA,France,0,2,0,0,2,1,6,0,0,7,0,9
2019,SOM,Somalia,FIN,Finland,3,25,0,0,28,3,15,0,0,18,0,46
2019,SYR,Syrian Arab Rep.,FRA,France,431,341,10,0,782,474,354,10,0,838,0,1620
2019,IRQ,Iraq,ESP,Spain,0,1,0,0,1,0,0,0,0,0,0,1
2019,IRN,Iran (Islamic Rep. of),SWE,Sweden,0,1,0,0,1,2,2,0,0,4,0,5
2019,ERI,Eritrea,NZL,New Zealand,30,21,0,0,51,25,14,0,0,39,0,90
2019,IRN,Iran (Islamic Rep. of),FIN,Finland,0,0,0,0,0,0,3,0,0,3,0,3
2019,All others,All others,FIN,Finland,6,6,0,0,12,5,13,1,0,19,0,31
2019,AFG,Afghanistan,USA,United States of America,1184,1275,51,0,2510,1333,998,41,0,2372,0,4882
2019,AFG,Afghanistan,GBR,United Kingdom of Great Britain and Northern Ireland,33,55,5,0,93,41,40,6,0,87,0,180
2019,SYR,Syrian Arab Rep.,ROU,Romania,50,45,5,0,100,57,38,3,0,98,0,198
2019,SOM,Somalia,FRA,France,14,33,0,0,47,19,18,0,0,37,0,84
2019,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,441,588,34,0,1063,589,525,48,0,1162,0,2225
2019,SOM,Somalia,AUS,Australia,7,2,0,0,9,7,0,0,0,7,0,16
2019,IRN,Iran (Islamic Rep. of),FRA,France,0,2,0,0,2,0,2,0,0,2,0,4
2019,SDN,Sudan,ESP,Spain,1,5,1,0,7,3,3,0,0,6,0,13
2019,All others,All others,JPN,Japan,1,1,0,0,2,0,1,0,0,1,0,3
2019,AFG,Afghanistan,AUS,Australia,61,97,6,0,164,75,96,5,0,176,1,341
2019,SYR,Syrian Arab Rep.,BEL,Belgium,170,188,9,0,367,199,171,7,0,377,0,744
2019,SOM,Somalia,PRT,Portugal,0,1,0,0,1,1,2,0,0,3,0,4
2019,ERI,Eritrea,SWE,Sweden,36,67,1,0,104,146,187,0,0,333,0,437
2019,ERI,Eritrea,LUX,Luxembourg,2,4,0,0,6,2,13,0,0,15,0,21
